PID,totalvolume,x,y,z
5345,5.28,295683.333,1999183.333,5399.751
5656,5.166,295816.667,1999183.333,5398.618
5657,5.214,295883.333,1999183.333,5398.387
5971,4.726,296016.667,1999183.333,5396.667
5972,4.702,296083.333,1999183.333,5396.469
6288,4.459,296216.667,1999183.333,5395.913
6289,3.793,296283.333,1999183.333,5394.229
6930,1.595,296616.667,1999183.333,5376.795
6931,2.053,296683.333,1999183.333,5369.266
7257,0.176,296816.667,1999183.333,5351.791
7588,1.127,297083.333,1999183.333,5384.606
7925,3.795,297216.667,1999183.333,5391.162
7926,4.035,297283.333,1999183.333,5391.32
8266,4.827,297416.667,1999183.333,5392.896
8267,5.764,297483.333,1999183.333,5394.963
8601,7.026,297616.667,1999183.333,5397.823
8602,7.209,297683.333,1999183.333,5398.305
8938,6.966,297816.667,1999183.333,5397.639
8939,6.621,297883.333,1999183.333,5396.797
9281,5.433,298016.667,1999183.333,5393.597
9282,5.123,298083.333,1999183.333,5392.527
9628,4.588,298216.667,1999183.333,5390.61
9629,4.341,298283.333,1999183.333,5389.793
9977,3.244,298416.667,1999183.652,5386.454
2741,2.898,293883.333,1999183.805,5403.185
9978,2.6,298483.333,1999183.971,5384.438
2740,2.867,293816.667,1999184.276,5402.886
1409,4.448,292825.499,1999189.365,5411.415
1410,4.954,292887.75,1999189.422,5411.93
1660,4.81,293016.667,1999189.669,5409.518
1661,4.662,293083.333,1999189.859,5408.926
2465,2.398,293696.868,1999190.714,5402.347
1924,2.895,293205.801,1999191.658,5405.564
1925,2.705,293261.603,1999193.361,5404.651
2464,2.49,293643.737,1999196.915,5402.128
2187,2.735,293395.722,1999198.921,5403.046
2194,0.706,293467.784,1999201.679,5402.31
10332,0.765,298674.086,1999213.134,5374.133
3012,4.105,293983.333,1999216.667,5400.371
3015,6.541,294116.667,1999216.667,5405.372
3288,6.716,294183.333,1999216.667,5405.444
3291,6.913,294316.667,1999216.667,5405.276
3571,6.997,294383.333,1999216.667,5405.049
3574,6.91,294516.667,1999216.667,5404.056
3856,6.938,294583.333,1999216.667,5403.781
3859,6.856,294716.667,1999216.667,5402.927
4142,6.877,294783.333,1999216.667,5402.729
4145,7.069,294916.667,1999216.667,5402.399
4436,7.326,294983.333,1999216.667,5402.448
4439,7.619,295116.667,1999216.667,5402.173
4735,7.707,295183.333,1999216.667,5402.084
4738,7.734,295316.667,1999216.667,5401.602
5040,7.603,295383.333,1999216.667,5400.997
5043,7.205,295516.667,1999216.667,5399.393
5347,6.928,295583.333,1999216.667,5398.481
5350,6.465,295716.667,1999216.667,5396.859
5659,6.416,295783.333,1999216.667,5396.282
5662,6.44,295916.667,1999216.667,5395.538
5974,6.157,295983.333,1999216.667,5394.578
5977,5.992,296116.667,1999216.667,5394.013
6291,6.057,296183.333,1999216.667,5394.167
6294,5.267,296316.667,1999216.667,5391.64
6608,2.673,296383.333,1999216.667,5384.746
6933,1.285,296583.333,1999216.667,5378.64
6936,1.651,296716.667,1999216.667,5364.936
7260,0.905,296783.333,1999216.667,5356.385
7593,3.591,297116.667,1999216.667,5385.966
7928,4.831,297183.333,1999216.667,5388.143
7931,5.271,297316.667,1999216.667,5388.191
8269,5.564,297383.333,1999216.667,5388.708
8272,7.314,297516.667,1999216.667,5392.52
8604,8.01,297583.333,1999216.667,5394.08
8607,8.478,297716.667,1999216.667,5395.24
8941,8.301,297783.333,1999216.667,5394.848
8944,7.499,297916.667,1999216.667,5392.904
9284,6.876,297983.333,1999216.667,5391.238
9287,6.216,298116.667,1999216.667,5389.018
9631,5.945,298183.333,1999216.667,5388.007
9634,5.289,298316.667,1999216.667,5386.008
9980,4.753,298383.333,1999216.826,5384.467
2738,3.915,293916.667,1999216.902,5400.06
9983,3.45,298516.667,1999217.305,5380.598
2735,3.771,293783.333,1999217.609,5399.709
2462,3.038,293723.434,1999220.71,5399.536
1404,5.416,292792.166,1999221.469,5411.224
1407,5.378,292918.875,1999221.555,5408.982
1663,5.665,292983.333,1999221.678,5407.458
1666,5.36,293116.667,1999221.964,5405.838
1927,3.871,293177.901,1999222.815,5403.778
10326,4.351,298573.02,1999225.199,5378.194
1930,3.921,293294.936,1999225.37,5401.672
1923,2.479,293339.135,1999225.862,5401.248
2459,3.689,293610.404,1999230.013,5399.315
2457,1.823,293568.776,1999230.698,5399.387
2190,3.74,293444.296,1999230.992,5400.094
2456,1.172,293555.241,1999231.505,5399.38
2185,2.58,293538.517,1999231.897,5399.41
2186,3.678,293510.579,1999232.018,5399.533
10328,2.314,298629.372,1999233.094,5375.316
10325,0.36,298739.556,1999253.042,5366.819
2188,4.409,293365.241,1999258.425,5398.111
1402,0.617,292754.416,1999260.652,5410.688
2193,1.098,293503.969,1999261.183,5396.761
10677,0.648,298764.679,1999271.155,5364.122
10331,1.163,298717.733,1999271.587,5366.425
3011,5.871,293983.333,1999283.333,5392.525
3016,9.829,294116.667,1999283.333,5400.901
3287,9.673,294183.333,1999283.333,5400.258
3292,9.852,294316.667,1999283.333,5399.926
3570,9.727,294383.333,1999283.333,5399.234
3575,9.353,294516.667,1999283.333,5397.633
3855,9.12,294583.333,1999283.333,5396.785
3860,8.993,294716.667,1999283.333,5395.903
4141,9.011,294783.333,1999283.333,5395.603
4146,9.311,294916.667,1999283.333,5395.52
4435,9.497,294983.333,1999283.333,5395.529
4440,9.866,295116.667,1999283.333,5395.582
4734,10.172,295183.333,1999283.333,5395.939
4739,10.292,295316.667,1999283.333,5395.562
5039,10.231,295383.333,1999283.333,5395.079
5044,9.848,295516.667,1999283.333,5393.514
5346,9.666,295583.333,1999283.333,5392.796
5351,9.32,295716.667,1999283.333,5391.409
5658,9.225,295783.333,1999283.333,5390.802
5663,9.149,295916.667,1999283.333,5389.831
5973,8.948,295983.333,1999283.333,5389.044
5978,8.526,296116.667,1999283.333,5387.83
6290,8.71,296183.333,1999283.333,5388.132
6295,8.495,296316.667,1999283.333,5386.78
6607,7.968,296383.333,1999283.333,5384.987
6612,3.431,296516.667,1999283.333,5374.661
6932,3.272,296583.333,1999283.333,5375.001
6937,1.201,296716.667,1999283.333,5363.894
7589,0.889,296983.333,1999283.333,5370.148
7594,7.164,297116.667,1999283.333,5382.379
7927,7.999,297183.333,1999283.333,5383.339
7932,7.936,297316.667,1999283.333,5382.397
8268,8.099,297383.333,1999283.333,5382.635
8273,9.494,297516.667,1999283.333,5385.708
8603,10.132,297583.333,1999283.333,5387.182
8608,10.57,297716.667,1999283.333,5388.441
8940,10.638,297783.333,1999283.333,5388.8
8945,9.843,297916.667,1999283.333,5386.82
9283,9.324,297983.333,1999283.333,5385.34
9288,8.691,298116.667,1999283.333,5383.233
9630,8.435,298183.333,1999283.333,5382.251
9635,7.742,298316.667,1999283.333,5380.027
9979,7.183,298383.333,1999283.493,5378.429
2739,5.645,293916.667,1999283.569,5392.169
9984,5.835,298516.667,1999283.652,5374.737
2734,5.575,293783.333,1999283.805,5392.423
1403,6.529,292787.75,1999285.734,5408.801
1408,6.807,292918.875,1999285.763,5403.927
1662,7.71,292983.333,1999285.887,5401.909
1667,7.081,293116.667,1999285.982,5399.028
1926,5.483,293177.901,1999286.833,5397.353
2463,4.483,293723.434,1999286.906,5392.299
1931,5.952,293305.801,1999287.685,5395.752
2458,5.277,293596.868,1999290.007,5392.957
2189,5.546,293413.815,1999290.496,5394.544
10327,4.533,298606.353,1999291.547,5371.577
10678,0.432,298787.675,1999293.579,5361.406
11025,0.44,299076.626,1999300.724,5357.416
10679,0.31,298804.319,1999301.43,5359.956
10681,0.443,298904.26,1999307.793,5357.57
10674,0.183,298939.604,1999309.458,5356.573
11024,0.211,298964.515,1999312.535,5355.664
1152,0.233,292748.495,1999313.19,5408.797
3014,7.581,294016.667,1999316.667,5390.223
3013,8.759,294083.333,1999316.667,5392.596
3290,8.946,294216.667,1999316.667,5392.416
3289,9.017,294283.333,1999316.667,5392.238
3573,8.98,294416.667,1999316.667,5391.443
3572,8.934,294483.333,1999316.667,5390.996
3858,8.859,294616.667,1999316.667,5390.201
3857,8.821,294683.333,1999316.667,5389.84
4144,8.506,294816.667,1999316.667,5388.377
4143,8.056,294883.333,1999316.667,5386.939
4438,7.219,295016.667,1999316.667,5384.201
4437,7.049,295083.333,1999316.667,5383.437
4737,7.001,295216.667,1999316.667,5382.636
4736,7.167,295283.333,1999316.667,5382.677
5042,7.377,295416.667,1999316.667,5382.465
5041,7.475,295483.333,1999316.667,5382.34
5349,7.632,295616.667,1999316.667,5382.044
5348,7.643,295683.333,1999316.667,5381.755
5661,7.643,295816.667,1999316.667,5381.045
5660,7.692,295883.333,1999316.667,5380.785
5976,7.707,296016.667,1999316.667,5380.122
5975,7.681,296083.333,1999316.667,5379.863
6293,7.869,296216.667,1999316.667,5379.829
6292,7.8,296283.333,1999316.667,5379.279
6610,7.398,296416.667,1999316.667,5377.494
6609,6.402,296483.333,1999316.667,5375.078
6935,4.761,296616.667,1999316.667,5373.202
6934,2.75,296683.333,1999316.667,5368.281
7592,3.545,297016.667,1999316.667,5371.17
7591,5.073,297083.333,1999316.667,5372.389
7930,6.078,297216.667,1999316.667,5372.893
7929,5.998,297283.333,1999316.667,5372.524
8271,5.782,297416.667,1999316.667,5372.023
8270,5.848,297483.333,1999316.667,5372.26
8606,5.917,297616.667,1999316.667,5372.713
8605,5.778,297683.333,1999316.667,5372.643
8943,5.368,297816.667,1999316.667,5372.4
8942,5.14,297883.333,1999316.667,5371.751
9286,4.679,298016.667,1999316.667,5370.055
9285,4.501,298083.333,1999316.667,5369.318
9633,4.149,298216.667,1999316.667,5367.815
9632,3.954,298283.333,1999316.667,5367.038
9982,3.294,298416.667,1999316.826,5364.913
9981,3,298483.333,1999316.826,5363.908
2737,6.501,293816.667,1999316.902,5388.618
2736,6.528,293883.333,1999316.902,5388.438
1406,7.061,292818.875,1999317.867,5405.876
1405,7.66,292885.542,1999317.867,5403.101
1665,7.873,293016.667,1999317.991,5395.962
1664,7.778,293083.333,1999317.991,5395.242
1929,7.136,293211.234,1999318.842,5393.416
