PID,totalvolume,x,y,z
4746,15.853,295316.667,1999416.667,5359.727
5048,15.79,295383.333,1999416.667,5359.38
5051,15.589,295516.667,1999416.667,5358.688
5355,15.511,295583.333,1999416.667,5358.342
5358,15.484,295716.667,1999416.667,5357.667
5667,15.485,295783.333,1999416.667,5357.355
5670,15.387,295916.667,1999416.667,5356.662
5982,15.59,295983.333,1999416.667,5356.34
5985,15.368,296116.667,1999416.667,5355.624
6299,15.275,296183.333,1999416.667,5355.263
6302,15.167,296316.667,1999416.667,5354.572
6616,15.16,296383.333,1999416.667,5354.245
6619,15.258,296516.667,1999416.667,5353.785
6941,15.462,296583.333,1999416.667,5354.302
6944,15.946,296716.667,1999416.667,5355.637
7268,15.66,296783.333,1999416.667,5353.436
7271,15.798,296916.667,1999416.667,5352.756
7598,16.162,296983.333,1999416.667,5353.962
7601,16.458,297116.667,1999416.667,5354.012
7936,16.601,297183.333,1999416.667,5354.025
7939,16.952,297316.667,1999416.667,5354.394
8277,17.136,297383.333,1999416.667,5354.626
8280,17.52,297516.667,1999416.667,5355.166
8612,17.719,297583.333,1999416.667,5355.447
8615,18.137,297716.667,1999416.667,5356.135
8949,18.373,297783.333,1999416.667,5356.53
8952,18.717,297916.667,1999416.667,5356.414
9292,18.855,297983.333,1999416.667,5356.097
9295,19.175,298116.667,1999416.667,5355.639
9639,19.294,298183.333,1999416.667,5355.149
9642,19.58,298316.667,1999416.667,5354.335
9988,19.742,298383.333,1999416.667,5353.982
9991,20.075,298516.667,1999416.667,5353.272
10336,20.241,298583.333,1999416.667,5352.901
10339,20.56,298716.667,1999416.667,5352.065
10685,20.699,298783.333,1999416.667,5351.558
10688,20.982,298916.667,1999416.667,5350.652
11033,21.191,298983.333,1999416.667,5350.596
11036,21.611,299116.667,1999416.667,5350.561
11375,21.045,299183.333,1999416.667,5350.974
11378,0.577,299316.667,1999416.667,5351.994
11718,0.893,299383.333,1999416.993,5352.496
11721,0.772,299516.667,1999417.974,5353.245
12060,0.119,299553.265,1999422.71,5353.409
12061,0.213,299562.404,1999435.59,5353.467
12059,0.492,299582.948,1999460.004,5353.592
18769,0.173,304788.011,1999461.848,5392.692
20051,0.164,307377.608,1999476.328,5331.83
1670,3.53,292983.333,1999483.333,5375.582
1675,15.816,293116.667,1999483.333,5371.449
1934,15.751,293183.333,1999483.333,5371.02
1939,15.64,293316.667,1999483.333,5370.311
2197,15.771,293383.333,1999483.333,5369.963
2202,15.772,293516.667,1999483.333,5369.286
2468,15.776,293583.333,1999483.333,5368.939
2473,15.808,293716.667,1999483.333,5368.261
2744,15.814,293783.333,1999483.333,5367.917
2749,15.747,293916.667,1999483.333,5367.241
3019,15.681,293983.333,1999483.333,5366.9
3024,15.533,294116.667,1999483.333,5366.227
3295,15.454,294183.333,1999483.333,5365.887
3300,15.297,294316.667,1999483.333,5365.211
3578,15.224,294383.333,1999483.333,5364.873
3583,15.113,294516.667,1999483.333,5364.2
3863,15.077,294583.333,1999483.333,5363.854
3868,15.031,294716.667,1999483.333,5363.187
4149,15.312,294783.333,1999483.333,5362.847
4154,16.739,294916.667,1999483.333,5362.175
4443,17.412,294983.333,1999483.333,5361.836
4448,18.062,295116.667,1999483.333,5361.176
4742,18.143,295183.333,1999483.333,5360.834
4747,18.069,295316.667,1999483.333,5360.167
5047,17.904,295383.333,1999483.333,5359.822
5052,17.458,295516.667,1999483.333,5359.153
5354,17.265,295583.333,1999483.333,5358.809
5359,17.096,295716.667,1999483.333,5358.144
5666,17.069,295783.333,1999483.333,5357.8
5671,16.973,295916.667,1999483.333,5357.131
5981,16.9,295983.333,1999483.333,5356.792
5986,16.757,296116.667,1999483.333,5356.116
6298,16.704,296183.333,1999483.333,5355.773
6303,16.678,296316.667,1999483.333,5355.1
6615,16.709,296383.333,1999483.333,5354.765
6620,16.857,296516.667,1999483.333,5354.163
6940,16.997,296583.333,1999483.333,5354.106
6945,17.311,296716.667,1999483.333,5354.045
7267,17.411,296783.333,1999483.333,5353.653
7272,17.771,296916.667,1999483.333,5353.632
7597,17.967,296983.333,1999483.333,5353.662
7602,18.421,297116.667,1999483.333,5353.993
7935,18.668,297183.333,1999483.333,5354.25
7940,19.169,297316.667,1999483.333,5354.817
8276,19.418,297383.333,1999483.333,5355.12
8281,19.907,297516.667,1999483.333,5355.761
8611,20.14,297583.333,1999483.333,5356.079
8616,20.614,297716.667,1999483.333,5356.84
8948,20.862,297783.333,1999483.333,5357.281
8953,21.179,297916.667,1999483.333,5357.172
9291,21.294,297983.333,1999483.333,5356.854
9296,21.53,298116.667,1999483.333,5356.217
9638,21.641,298183.333,1999483.333,5355.847
9643,21.87,298316.667,1999483.333,5355.123
9987,21.99,298383.333,1999483.333,5354.778
9992,22.231,298516.667,1999483.333,5354.086
10335,22.352,298583.333,1999483.333,5353.735
10340,22.583,298716.667,1999483.333,5352.989
10684,22.691,298783.333,1999483.333,5352.589
10689,22.9,298916.667,1999483.333,5351.79
11032,23.017,298983.333,1999483.333,5351.484
11037,23.287,299116.667,1999483.333,5351.133
11374,22.182,299183.333,1999483.333,5351.187
11717,0.613,299383.333,1999483.66,5352.519
11722,0.88,299516.667,1999483.987,5353.282
12057,0.429,299621.559,1999489.802,5353.806
18777,0.537,304787.825,1999503.923,5390.173
18477,0.259,304529.595,1999512.243,5389.134
20053,0.179,307404.139,1999514.316,5331.271
20052,0.56,307457.202,1999514.316,5333.581
18480,0.501,304492.594,1999514.809,5389.429
18121,0.218,303971.941,1999515.208,5392.35
1673,11.479,293016.667,1999516.667,5374.83
1672,15.836,293083.333,1999516.667,5372.182
1937,15.394,293216.667,1999516.667,5370.673
1936,14.802,293283.333,1999516.667,5370.292
2200,15.658,293416.667,1999516.667,5369.666
2199,15.677,293483.333,1999516.667,5369.422
2471,15.708,293616.667,1999516.667,5368.805
2470,15.732,293683.333,1999516.667,5368.472
2747,15.745,293816.667,1999516.667,5367.789
2746,15.704,293883.333,1999516.667,5367.464
3022,15.543,294016.667,1999516.667,5366.823
3021,15.455,294083.333,1999516.667,5366.514
3298,15.277,294216.667,1999516.667,5365.88
3297,15.187,294283.333,1999516.667,5365.549
3581,15.02,294416.667,1999516.667,5364.868
3580,14.955,294483.333,1999516.667,5364.529
3866,14.862,294616.667,1999516.667,5363.845
3865,14.808,294683.333,1999516.667,5363.489
4152,15.435,294816.667,1999516.667,5362.76
4151,16.214,294883.333,1999516.667,5362.34
4446,17.549,295016.667,1999516.667,5361.466
4445,17.868,295083.333,1999516.667,5361.082
4745,18.054,295216.667,1999516.667,5360.346
4744,18.031,295283.333,1999516.667,5360.024
5050,17.71,295416.667,1999516.667,5359.378
5049,17.474,295483.333,1999516.667,5359.087
5357,17.089,295616.667,1999516.667,5358.458
5356,17.018,295683.333,1999516.667,5358.162
5669,16.989,295816.667,1999516.667,5357.576
5668,16.952,295883.333,1999516.667,5357.254
5984,16.828,296016.667,1999516.667,5356.597
5983,16.767,296083.333,1999516.667,5356.291
6301,16.688,296216.667,1999516.667,5355.665
6300,16.689,296283.333,1999516.667,5355.363
6618,16.774,296416.667,1999516.667,5354.758
6617,16.857,296483.333,1999516.667,5354.478
6943,17.121,296616.667,1999516.667,5354.27
6942,17.289,296683.333,1999516.667,5354.299
7270,17.582,296816.667,1999516.667,5354.016
7269,17.76,296883.333,1999516.667,5353.987
7600,18.136,297016.667,1999516.667,5353.955
7599,18.334,297083.333,1999516.667,5353.954
7938,18.84,297216.667,1999516.667,5354.527
7937,19.099,297283.333,1999516.667,5354.851
8279,19.607,297416.667,1999516.667,5355.509
8278,19.854,297483.333,1999516.667,5355.846
8614,20.325,297616.667,1999516.667,5356.52
8613,20.559,297683.333,1999516.667,5356.899
8951,21.083,297816.667,1999516.667,5357.947
8950,21.212,297883.333,1999516.667,5357.73
9294,21.442,298016.667,1999516.667,5357.069
9293,21.559,298083.333,1999516.667,5356.726
9641,21.796,298216.667,1999516.667,5356.041
9640,21.915,298283.333,1999516.667,5355.692
9990,22.16,298416.667,1999516.667,5355.018
9989,22.281,298483.333,1999516.667,5354.671
10338,22.529,298616.667,1999516.667,5354.001
10337,22.648,298683.333,1999516.667,5353.647
10687,22.884,298816.667,1999516.667,5352.953
10686,22.994,298883.333,1999516.667,5352.584
11035,23.189,299016.667,1999516.667,5351.776
11034,23.304,299083.333,1999516.667,5351.5
11377,19.274,299216.667,1999516.667,5351.327
11376,4.492,299283.333,1999516.667,5351.783
11720,0.641,299416.667,1999516.993,5352.743
11719,0.836,299483.333,1999516.993,5353.122
17925,0.118,303927.438,1999517.922,5392.106
19933,0.109,307006.742,1999524.078,5333.757
12056,0.507,299628.211,1999524.667,5353.852
12055,0.3,299694.878,1999524.667,5354.198
15256,0.242,301615.752,1999529.477,5401.745
15254,0.128,301732.782,1999529.54,5401.148
15533,0.114,301782.099,1999531.397,5400.438
18479,0.168,304446.331,1999536.137,5386.784
15255,0.37,301666.115,1999539.707,5400.474
15535,0.112,301857.589,1999542.689,5398.086
1676,13.457,293016.667,1999583.333,5374.979
1677,17.015,293083.333,1999583.333,5372.238
1940,14.944,293216.667,1999583.333,5369.715
1941,13.316,293283.333,1999583.333,5369.21
2203,12.459,293416.667,1999583.333,5368.84
2204,12.792,293483.333,1999583.333,5368.925
2474,12.766,293616.667,1999583.333,5368.539
2475,12.797,293683.333,1999583.333,5368.189
2750,12.813,293816.667,1999583.333,5367.49
2751,12.759,293883.333,1999583.333,5367.192
3025,12.561,294016.667,1999583.333,5366.683
3026,12.452,294083.333,1999583.333,5366.429
3301,12.244,294216.667,1999583.333,5365.891
3302,12.134,294283.333,1999583.333,5365.564
3584,11.932,294416.667,1999583.333,5364.874
3585,11.853,294483.333,1999583.333,5364.527
3869,11.743,294616.667,1999583.333,5363.86
3870,11.676,294683.333,1999583.333,5363.455
4155,12.361,294816.667,1999583.333,5362.576
4156,13.153,294883.333,1999583.333,5361.858
4449,14.463,295016.667,1999583.333,5360.349
4450,14.765,295083.333,1999583.333,5359.762
4748,14.956,295216.667,1999583.333,5358.9
4749,14.948,295283.333,1999583.333,5358.575
5053,14.641,295416.667,1999583.333,5358.072
5054,14.401,295483.333,1999583.333,5357.891
5360,14.017,295616.667,1999583.333,5357.445
5361,13.971,295683.333,1999583.333,5357.242
5672,14.042,295816.667,1999583.333,5357.046
5673,14.018,295883.333,1999583.333,5356.712
5987,13.931,296016.667,1999583.333,5356.134
5988,13.895,296083.333,1999583.333,5355.909
6304,13.876,296216.667,1999583.333,5355.48
6305,13.909,296283.333,1999583.333,5355.282
6621,14.056,296416.667,1999583.333,5354.909
6622,14.175,296483.333,1999583.333,5354.797
6946,14.564,296616.667,1999583.333,5355.238
6947,14.72,296683.333,1999583.333,5355.204
7273,14.848,296816.667,1999583.333,5354.033
7274,14.991,296883.333,1999583.333,5353.811
7603,15.367,297016.667,1999583.333,5353.759
7604,15.607,297083.333,1999583.333,5353.962
7941,16.152,297216.667,1999583.333,5354.731
7942,16.415,297283.333,1999583.333,5355.078
8282,16.847,297416.667,1999583.333,5355.33
8283,17.016,297483.333,1999583.333,5355.252
8617,17.447,297616.667,1999583.333,5355.743
8618,17.693,297683.333,1999583.333,5356.202
8954,18.24,297816.667,1999583.333,5357.389
8955,18.421,297883.333,1999583.333,5357.441
9297,18.713,298016.667,1999583.333,5357.065
9298,18.851,298083.333,1999583.333,5356.81
9644,19.114,298216.667,1999583.333,5356.219
9645,19.237,298283.333,1999583.333,5355.879
9993,19.479,298416.667,1999583.333,5355.167
9994,19.596,298483.333,1999583.333,5354.787
10341,19.825,298616.667,1999583.333,5354.005
10342,19.933,298683.333,1999583.333,5353.595
10690,20.155,298816.667,1999583.333,5352.831
10691,20.265,298883.333,1999583.333,5352.466
11038,20.483,299016.667,1999583.333,5351.797
11039,20.584,299083.333,1999583.333,5351.453
11380,19.35,299216.667,1999583.333,5351.454
11381,4.428,299283.333,1999583.333,5351.901
11723,0.376,299416.667,1999583.333,5352.817
11724,0.652,299483.333,1999583.333,5353.179
12062,0.754,299616.667,1999583.333,5353.786
12063,0.654,299683.333,1999583.333,5354.094
20056,0.157,307403.062,1999583.333,5330.534
20057,0.521,307456.125,1999583.333,5332.864
19166,0.198,305453.033,1999591.861,5369.214
20055,0.269,307529.594,1999602.405,5333.992
19865,0.171,306895.396,1999610.316,5336.217
